#,Title,Company,URL,Location,State,Salary
1,"Scientist, Oncology Translational Research",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Cambridge-Crossing---MA---US/Scientist--Oncology-Translational-Research_R1598334,Cambridge Crossing - MA - US,MA,1598334
2,2026 Future Talent Program - Research – Chemical Biology- Co-Op,Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Massachusetts---Cambridge-320-Bent-Street/XMLNAME-2026-Future-Talent-Program---Research---Chemical-Biology--Co-Op_R380805,USA - Massachusetts - Cambridge (320 Bent Street),MA,380805
3,"Associate Scientist, Postdoctoral Fellow- Data Science for Multi-omics and Biomarker Modelling in Neuroscience",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Massachusetts---Cambridge-320-Bent-Street/Associate-Scientist--Postdoctoral-Fellow--Data-Science-for-Multi-omics-and-Biomarker-Modelling-in-Neuroscience-_R371433,USA - Massachusetts - Cambridge (320 Bent Street),MA,371433
4,"Head, Translational Research and Biomarkers",Novartis,https://novartis.wd3.myworkdayjobs.com/Novartis_Careers/job/Cambridge-USA/Head--Translational-Research-and-Biomarkers_REQ-10069635-2,Cambridge (USA),N/A,10069635
5,"Associate Scientist, Assay Development",Pfizer,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers/job/United-States---Massachusetts---Cambridge/Associate-Scientist--Assay-Development_4949986-1,United States - Massachusetts - Cambridge,MA,4949986
6,"Principal Scientist in Cell, Molecular, and Immunology",Gsk,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/USA---Massachusetts---Cambridge/Principal-Scientist-in-Cell--Molecular--and-Immunology_433845,USA - Massachusetts - Cambridge,MA,433845
7,"Senior Director, Vx and Lab Specialization",Gsk,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/USA---Massachusetts---Cambridge/Senior-Director--Vx-and-Lab-Specialization_431209,USA - Massachusetts - Cambridge,MA,431209
8,"Senior Director, Customer Engagement Data Science & AI Engineering Lead",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Princeton---NJ---US/Senior-Director--Customer-Engagement-Data-Science---AI-Engineering-Lead_R1596897,Princeton - NJ - US,NJ,1596897
9,"Scientific Senior Director, ADCs Discovery Biology, Oncology",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Cambridge-Crossing---MA---US/Scientific-Senior-Director--ADCs-Discovery-Biology--Oncology_R1598377-1,Cambridge Crossing - MA - US,MA,1598377
10,Cell Culture Scientist,Thermofisher,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/King-of-Prussia-Pennsylvania-USA/Cell-Culture-Scientist_R-01340162,"King of Prussia, Pennsylvania, USA",PA,01340162
11,"Senior Scientist, Epidemiology",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Pennsylvania---West-Point/Senior-Scientist--Epidemiology_R381154-2,USA - Pennsylvania - West Point,PA,381154
12,"Scientist, Analytical R&D",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---New-Jersey---Rahway/Scientist--Analytical-R-D_R381113-1,USA - New Jersey - Rahway,NJ,381113
13,Senior Scientist – Downstream Vaccines and Advanced Biotechnologies Process R&D,Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Pennsylvania---West-Point/Senior-Scientist---Downstream-Vaccines-and-Advanced-Biotechnologies-Process-R-D-_R380998-1,USA - Pennsylvania - West Point,PA,380998
