#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,"Senior Director, Learning Instructional Design and Course Creation",Pfizer,https://www.indeed.com/viewjob?jk=c61ed014779b2662,"New York, NY, US",NY,"$214,900",2026-01-26,N/A
2,"Associate Principal Scientist, Engineering- Biologics, Sterile Drug Product Commercialization",Merck,https://www.indeed.com/viewjob?jk=1d9c8764f48590de,"West Point, PA, US",PA,"$142,400",2026-01-25,2026-02-05
3,"Experienced Scientist, Sample Logistics & Inventory Management",Johnson & Johnson,https://www.indeed.com/viewjob?jk=002c7410cd3b1154,"Spring House, PA, US",PA,N/A,2026-01-25,N/A
4,Account Manager (Remote),m3usa,https://www.indeed.com/viewjob?jk=c4550fe1f9b21cfd,"Fort Washington, PA, US",PA,N/A,2026-01-25,N/A
5,Cell Therapy Manufacturing Specialist,Eurofins,https://www.indeed.com/viewjob?jk=ce3f7272946ec47e,"Exton, PA, US",PA,N/A,2026-01-25,N/A
6,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=0f41536aab6661ea,"Philadelphia, PA, US",PA,"$94,400",2026-01-25,N/A
7,"Research Scientist/ Senior Research Scientist, Precision Medicine",Aitia,https://www.indeed.com/viewjob?jk=42065918392afec0,"Cambridge, MA, US",MA,N/A,2026-01-25,N/A
8,"Research Scientist/ Senior Research Scientist, Precision Medicine",Aitia,https://www.indeed.com/viewjob?jk=8112f738f382eae5,"Cambridge, MA, US",MA,N/A,2026-01-25,N/A
9,Bioprocessing Support Technician,Eurofins,https://www.indeed.com/viewjob?jk=65d31c045533a757,"Andover, MA, US",MA,$24,2026-01-25,N/A
10,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=11a19d1c069a9164,"Boston, MA, US",MA,"$94,400",2026-01-25,N/A
11,Downstream Development Engineer – Pilot Operations,Eurofins,https://www.indeed.com/viewjob?jk=371a5772ec55cd80,"Lexington, MA, US",MA,$30,2026-01-25,N/A
12,Pilot Plant Process Technician (No Degree Needed),Eurofins,https://www.indeed.com/viewjob?jk=8d92e9f5032b8440,"Andover, MA, US",MA,$24,2026-01-25,N/A
13,Technical Sales Support (Microbiology),Element Materials Technology,https://www.indeed.com/viewjob?jk=f01271174bce1611,"Acton, MA, US",MA,N/A,2026-01-25,N/A
14,Senior Clinical Project Manager (Remote),Everest Clinical Research,https://www.indeed.com/viewjob?jk=d0bd745d6c7782b0,"Bridgewater, NJ, US",NJ,N/A,2026-01-25,N/A
15,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=673587423791e173,"New York, NY, US",NY,"$94,400",2026-01-25,N/A
16,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=7c995e7774590a9e,"Morristown, NJ, US",NJ,"$94,400",2026-01-25,N/A
17,"Associate Director, R&D Data Science & Digital Health – Hematology/Oncology",Johnson & Johnson,https://www.indeed.com/viewjob?jk=17c1994516d387e2,"Spring House, PA, US",PA,"$137,000",2026-01-25,N/A
18,Analytical Laboratory Associate II,Eurofins,https://www.indeed.com/viewjob?jk=12e4f01c0cc0bbc4,"Andover, MA, US",MA,$26,2026-01-25,N/A
19,Protein Purification Analytical Scientist,Eurofins,https://www.indeed.com/viewjob?jk=e98b69e21f418af7,"Andover, MA, US",MA,$27,2026-01-25,N/A
20,HPLC Analyst,Eurofins,https://www.indeed.com/viewjob?jk=63e2625237e0c46f,"Cambridge, MA, US",MA,$34,2026-01-25,N/A
21,HPLC Associate – Team Lead,Eurofins,https://www.indeed.com/viewjob?jk=1407060bcd049659,"Cambridge, MA, US",MA,$34,2026-01-25,N/A
22,HPLC Chemist,Eurofins,https://www.indeed.com/viewjob?jk=c42999274c69fce2,"Andover, MA, US",MA,$26,2026-01-25,N/A
23,Oncology G.A.P Scholar,Johnson & Johnson,https://www.indeed.com/viewjob?jk=0a33e02120b9ff48,"Spring House, PA, US",PA,N/A,2026-01-25,N/A
24,Post Doc AI-powered Omics Analytics,Johnson & Johnson,https://www.indeed.com/viewjob?jk=07b94135631fc098,"Spring House, PA, US",PA,"$79,000",2026-01-25,N/A
25,Associate Director,AstraZeneca,https://www.indeed.com/viewjob?jk=0a7163f1a4977dac,"Waltham, MA, US",MA,"$134,892",2026-01-25,N/A
26,"Distinguished Scientist/Director, Cell Therapy",Johnson & Johnson,https://www.indeed.com/viewjob?jk=ca92917d6fdc671e,"Cambridge, MA, US",MA,"$164,000",2026-01-25,N/A
27,"National Director, Life Sciences",Leica Biosystems,https://www.indeed.com/viewjob?jk=4d7f38c20d56054f,"New York, NY, US",NY,"$200,000",2026-01-25,N/A
28,Scientist - Functional Genomics,Eurofins,https://www.indeed.com/viewjob?jk=f1136681a7ffadab,"Cambridge, MA, US",MA,"$130,000",2026-01-25,N/A
29,"Scientist, Renal Cell Biology & Physiology (iPSC Differentiation/Reprogramming)",United Therapeutics,https://www.indeed.com/viewjob?jk=cfe6eb5b73f00feb,"Medford, MA, US",MA,"$111,000",2026-01-25,N/A
30,"Scientist, Renal Cell Biology & Physiology (Epithelial and Endothelial Cell Biologist)",United Therapeutics,https://www.indeed.com/viewjob?jk=d3fa09a265f68f13,"Medford, MA, US",MA,"$111,000",2026-01-25,N/A
31,Postdoctoral Associate (Chen Lab),New York University,https://www.indeed.com/viewjob?jk=12ed9bbd4e8d2667,"New York, NY, US",NY,"$62,500",2026-01-23,N/A
32,Laboratory Associate (Chen Lab),New York University,https://www.indeed.com/viewjob?jk=1238c095efa21c6c,"New York, NY, US",NY,"$58,656",2026-01-23,N/A
33,"Director, Head of Research Data Integration & Analytics",GSK,https://www.indeed.com/viewjob?jk=42a4519f8a5f3a6e,"Cambridge, MA, US",MA,"$178,200",2026-01-23,N/A
34,Research Pipeline Project Director,GSK,https://www.indeed.com/viewjob?jk=f749d5410ce35b76,"Collegeville, PA, US",PA,N/A,2026-01-22,N/A
35,Post-Doc Shumytsky Lab,Rutgers University,https://www.indeed.com/viewjob?jk=4c0c1a6303346e74,"Piscataway, NJ, US",NJ,"$63,968",2026-01-22,N/A
36,Research Support Specialist,The Research Foundation for The State University of New York at Stony Brook,https://www.indeed.com/viewjob?jk=8df46e011554cc86,"Stony Brook, NY, US",NY,"$38,000",2026-01-22,2026-02-05
37,Clinical Laboratory Technologist - Microbiology Lab,Stony Brook University Medical Center,https://www.indeed.com/viewjob?jk=add29acc894d67e8,"Stony Brook, NY, US",NY,"$89,142",2026-01-22,N/A
38,"Head of Predictive Biomarker Strategy, R&D",Daiichi Sankyo,https://www.indeed.com/viewjob?jk=6bc1b1514b636a23,"Basking Ridge, NJ, US",NJ,"$298,800",2026-01-20,N/A
39,Senior Scientist I Exton,A-TEK Inc,https://www.indeed.com/viewjob?jk=04d7ded6a6c8324b,"Exton, PA, US",PA,N/A,2026-01-20,N/A
40,"Co-op, Computational Biology",Biogen,https://www.indeed.com/viewjob?jk=ae20d06083610587,"Cambridge, MA, US",MA,$29,2026-01-20,N/A
41,"Precision Medicine, Biological Data Intern",Daiichi Sankyo,https://www.indeed.com/viewjob?jk=669410d064dc4166,"Basking Ridge, NJ, US",NJ,$17,2026-01-14,N/A
42,Sr Mgr Tech Operations Fermentation Chemistry,Melinta Therapeutics,https://www.indeed.com/viewjob?jk=5588b21b38c0f254,"Parsippany-Troy Hills, NJ, US",NJ,N/A,2025-08-20,N/A
43,Senior Project Manager-Land Development,VHB,https://www.indeed.com/viewjob?jk=2c5119fc9203ad89,"Manasquan, NJ, US",NJ,N/A,N/A,N/A
