#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,Scientist: Environmental Monitoring,Thermo Fisher Scientific,https://www.indeed.com/viewjob?jk=c2f81bf9d36f0898,"New Brunswick, NJ, US",NJ,$30,2026-01-31,N/A
2,"Scientist II, Brain Transport Biology",AbbVie,https://www.indeed.com/viewjob?jk=792fa365cc2a99e4,"Cambridge, MA, US",MA,N/A,2026-01-31,N/A
3,"Associate Director, AI Engineering",AbbVie,https://www.indeed.com/viewjob?jk=9d359b3dc36d449d,"Florham Park, NJ, US",NJ,N/A,2026-01-31,N/A
4,Scientist I - Biocompatibility,AbbVie,https://www.indeed.com/viewjob?jk=5034c3510ff0bcc5,"Branchburg, NJ, US",NJ,N/A,2026-01-31,N/A
5,"Senior Principal Scientist II, In Silico Biologics",Johnson & Johnson,https://www.indeed.com/viewjob?jk=8d30a3dac18cdbef,"Spring House, PA, US",PA,"$137,000",2026-01-31,N/A
6,Organic Chemist Intern,Johnson & Johnson,https://www.indeed.com/viewjob?jk=d37fda0f1e9a34e2,"Spring House, PA, US",PA,N/A,2026-01-31,N/A
7,"Sr Director, Head of Data Science & Digital Health – Preclinical Sciences & Translational Safety (PSTS)",Johnson & Johnson,https://www.indeed.com/viewjob?jk=a3d66673be952035,"Spring House, PA, US",PA,"$196,000",2026-01-31,N/A
8,"Senior Scientist, Cell Therapy Development",Johnson & Johnson,https://www.indeed.com/viewjob?jk=e0b984f37acd25cf,"Spring House, PA, US",PA,N/A,2026-01-31,N/A
9,"Associate Director, US/Global Forecasting - Hampton, NJ","Celldex Therapeutics, Inc.",https://www.indeed.com/viewjob?jk=559fac218092d0a2,"Hampton, NJ, US",NJ,"$153,616",2026-01-31,N/A
10,"Associate Director, Market Research and Competitive Intelligence - Hampton, NJ","Celldex Therapeutics, Inc.",https://www.indeed.com/viewjob?jk=b5b2a69e65f4f1e3,"Hampton, NJ, US",NJ,"$153,616",2026-01-31,N/A
11,Strategic Marketing Manager - Personal Care,Nouryon,https://www.indeed.com/viewjob?jk=34d4ecd5db8a49a9,"Radnor, PA, US",PA,N/A,2026-01-31,N/A
12,"Director, R&D Data Science, Data Products - Global Regulatory Affairs",Johnson & Johnson,https://www.indeed.com/viewjob?jk=fbf008c8aad7e0f9,"Spring House, PA, US",PA,"$164,000",2026-01-31,N/A
13,Biology Teacher,CCRES,https://www.indeed.com/viewjob?jk=2e2480953c3fe4ea,"West Grove, PA, US",PA,$500,2026-01-31,N/A
14,Quality Assurance Manager,Carrier,https://www.indeed.com/viewjob?jk=e6ea592f0d7ad7af,"Beverly, MA, US",MA,"$120,000",2026-01-31,N/A
15,Pilot Plant Downstream Engineer,Eurofins,https://www.indeed.com/viewjob?jk=3bf426bca45a1226,"Lexington, MA, US",MA,$30,2026-01-31,N/A
16,"Senior Program Director, Process Intensification Strategy & Innovation",Cytiva,https://www.indeed.com/viewjob?jk=2c5e770d4ee7f0a2,"Marlborough, MA, US",MA,"$210,000",2026-01-31,N/A
17,Senior ADS Programmer,Genentech,https://www.indeed.com/viewjob?jk=9da37dc84edb7ab4,"Boston, MA, US",MA,"$114,000",2026-01-31,N/A
18,Senior ADS Programmer,Genentech,https://www.indeed.com/viewjob?jk=3dc7d3f296bfaecf,"Boston, MA, US",MA,"$114,000",2026-01-31,N/A
19,Senior Global Order Processing Specialist,Rapid Micro Biosystems,https://www.indeed.com/viewjob?jk=7864b297a7c08ea0,"Lowell, MA, US",MA,"$66,000",2026-01-31,N/A
20,Director Quality Audits,Lantheus,https://www.indeed.com/viewjob?jk=944fa831aaba57e7,"Bedford, MA, US",MA,"$172,000",2026-01-31,2026-02-02
21,"Head of Clinical Development, Cardiology",Lantheus,https://www.indeed.com/viewjob?jk=563adda02f31413c,"Bedford, MA, US",MA,"$206,000",2026-01-31,2026-02-02
22,"Scientist I, Cell Culture Process Development",AbbVie,https://www.indeed.com/viewjob?jk=734d8d1040451a96,"Worcester, MA, US",MA,N/A,2026-01-31,N/A
23,Organizational Effectiveness & Development (OED) Director,Lantheus,https://www.indeed.com/viewjob?jk=4da78b8a68dc665f,"Bedford, MA, US",MA,"$172,000",2026-01-31,N/A
24,"Associate Director, R&D IT",Lantheus,https://www.indeed.com/viewjob?jk=6cbc0a8297e43e87,"Bedford, MA, US",MA,"$139,000",2026-01-31,2026-03-01
25,"Director of IT, Data, Analytics, Information Management, Automation & AI",Lantheus,https://www.indeed.com/viewjob?jk=afc764512c5da5fc,"Bedford, MA, US",MA,"$172,000",2026-01-31,2026-02-02
26,"Chief IP Counsel, Leica Biosystems",Leica Biosystems,https://www.indeed.com/viewjob?jk=64c71331be2b5e67,"New York, NY, US",NY,"$220,000",2026-01-31,N/A
27,"Senior Specialist, Source-to-Contract, NA",Johnson & Johnson,https://www.indeed.com/viewjob?jk=1b245f80e21903a8,"New Brunswick, NJ, US",NJ,"$94,000",2026-01-31,N/A
28,"Director, Commercial Excellence",Radiometer,https://www.indeed.com/viewjob?jk=2dad8c85fcd28c72,"New York, NY, US",NY,"$180,000",2026-01-31,N/A
29,"Director, Marketing (REMOTE - USA)",Radiometer,https://www.indeed.com/viewjob?jk=282b7ed05e89795b,"New York, NY, US",NY,"$180,000",2026-01-31,N/A
30,Quality Excellence Manager,Cytiva,https://www.indeed.com/viewjob?jk=84f3ea324b96b02f,"Hauppauge, NY, US",NY,"$120,000",2026-01-31,N/A
31,"Customer Success Manager, Senior Manager - Healthcare & Life Sciences (Multiple Levels)",Salesforce,https://www.indeed.com/viewjob?jk=40d5b73880a4977b,"New York, NY, US",NY,"$135,400",2026-01-31,N/A
32,Strategic Marketing Manager - Personal Care,Nouryon,https://www.indeed.com/viewjob?jk=c2cf5830294df634,"Bridgewater, NJ, US",NJ,N/A,2026-01-31,N/A
33,"Manager, Data Science",Teva Pharmaceuticals,https://www.indeed.com/viewjob?jk=a2307e9fe8376206,"Parsippany-Troy Hills, NJ, US",NJ,"$124,800",2026-01-31,N/A
34,Global Strategic Account (GSA) Program Director,Pall,https://www.indeed.com/viewjob?jk=57ba91fd7364de2a,"Port Washington, NY, US",NY,"$140,000",2026-01-31,N/A
35,"Manager, Field Operations",AbbVie,https://www.indeed.com/viewjob?jk=47aef60786cb849b,"Florham Park, NJ, US",NJ,N/A,2026-01-31,N/A
36,"Territory Sales Manager, NGS Clinical Solutions - New York/New Jersey Remote",Integrated DNA Technologies,https://www.indeed.com/viewjob?jk=10bdaa0ff937db69,"New York, NY, US",NY,"$140,000",2026-01-31,N/A
